Andrew,Luck,Shane,2,4,QB
Jimmy,Graham,Dyl,2,4,TE
Jordy,Nelson,Shane,2,7,WR
Le'veon,Bell,Dan,2,13,RB
Giovanni,Bernard,Dan,2,7,RB
Odell,BeckhamJr,Dang,3,13,WR
Alshon,Jeffery,Stefan,2,12,WR
DeAndre,Hopkins,Ben,3,10,WR
Martavis,Bryant,Ben,3,13,WR
Jordan,Matthews,Dyl,3,12,WR
Lamar,Miller,Simon,3,9,RB
Carlos,Hyde,Simon,3,14,RB
Aaron,Dobson,Waivers,2,14,WR
Torrey,Smith,Donnie,2,10,WR
Nick,Foles,Waivers,2,13,QB
